ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001127602-24-011452	/s/ Richard Medway, attorney in fact	29-MAR-2024
0001214659-24-005629	Gould Investors L.P. by Georgetown Partners LLC, by Isaac Kalish, Vice President	29-MAR-2024
0001214659-24-005630	/s/ Jeffrey A. Gould by Isaac Kalish, his attorney in fact	29-MAR-2024
0001214659-24-005628	/s/ Matthew J. Gould by Isaac Kalish, his attorney in fact	29-MAR-2024
0001062993-24-007462	/s/ William R. Kolb, Attorney-in-Fact	29-MAR-2024
0000950170-24-038673	Steven D. Rubin, Attorney-in-Fact	29-MAR-2024
0000354950-24-000104	/s/ Stacy S. Ingram, Attorney-in-Fact for Ann-Marie Campbell	29-MAR-2024
0000950170-24-038672	/s/ Stephanie Delavale, as Attorney-In-Fact for Jessica P. Ross	29-MAR-2024
0001610717-24-000196	/s/ Lucy Day, Attorney-in-Fact for Paul Eckburg	29-MAR-2024
0000354950-24-000103	/s/ Stacy S. Ingram, Attorney-in-Fact for Matthew A. Carey	29-MAR-2024
0001127602-24-011450	/s/ Kelly E. W. Grez as Attorney-in-Fact for Peter C. Wendell	29-MAR-2024
0001610717-24-000195	/s/ Lucy Day	29-MAR-2024
0000950170-24-038668	/s/ Stephanie Delavale, as Attorney-In-Fact for Evan Iverson	29-MAR-2024
0000905148-24-001018	/s/ Jeffrey F. DiModica	29-MAR-2024
0001610717-24-000194	/s/ Lucy Day, Attorney-in-Fact for Joshua M. Eizen	29-MAR-2024
0000354950-24-000102	/s/ Stacy S. Ingram, Attorney-in-Fact for John A. Deaton	29-MAR-2024
0000950170-24-038665	/s/ Stephanie Delavale, as Attorney-In-Fact for Jeffrey Fiarman	29-MAR-2024
0000354950-24-000101	/s/ Stacy S. Ingram, Attorney-in-Fact for Richard V. McPhail	29-MAR-2024
0001610717-24-000193	/s/ Lucy Day, Attorney-in-Fact for Kevin Michael Krause	29-MAR-2024
0001062993-24-007460	Anthony D. Foti, Attorney-in-Fact for Elliott Rodgers	29-MAR-2024
0000950170-24-038664	/s/ Stephanie Delavale, as Attorney-In-Fact for Chastitie Brim	29-MAR-2024
0001610717-24-000192	/s/ Lucy Day, Attorney-in-Fact for Sanjay Chanda	29-MAR-2024
0000354950-24-000100	/s/Stacy S. Ingram, Attorney-in-Fact for Hector A. Padilla	29-MAR-2024
0001127602-24-011448	/s/ Kelly E. W. Grez as Attorney-in-Fact for Christine E. Seidman	29-MAR-2024
0000950170-24-038663	Steven D. Rubin, Attorney-in-Fact	29-MAR-2024
0001610717-24-000191	/s/ Lucy Day, Attorney-in-Fact for Eric Easom	29-MAR-2024
