holding_months,rebalance_date,ticker,trade_size,signal_prob_up,signal_median_return,buy_date,buy_price,sell_target,sell_date,sell_price,shares,invested,value,pnl,return_pct,open,spy_buy_price,spy_sell_price,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
3,2026-03-15,BK,75000.0,0.526,0.002373706105123885,2026-03-16,114.9238,2026-06-15,2026-06-12,143.98,0.870142,100.0,125.283,25.283,0.25283,True,667.2079,741.75,111.1722,11.1722,0.111722,0.141107,True
3,2026-04-01,PFE,32500.0,0.655,0.015892193759035944,2026-04-01,28.0864,2026-07-01,2026-06-12,26.21,3.560444,100.0,93.3192,-6.6808,-0.066808,True,655.24,741.75,113.2028,13.2028,0.132028,-0.198836,False
3,2026-05-01,GLW,32500.0,0.617,0.036218625793188464,2026-05-01,158.0178,2026-08-01,2026-06-12,179.2,0.63284,100.0,113.4049,13.4049,0.134049,True,720.65,741.75,102.9279,2.9279,0.029279,0.10477,True
3,2026-05-01,C,32500.0,0.576,0.010850752182865353,2026-05-01,126.84,2026-08-01,2026-06-12,139.83,0.788395,100.0,110.2412,10.2412,0.102412,True,720.65,741.75,102.9279,2.9279,0.029279,0.073133,True
3,2026-05-15,AMD,32500.0,0.763,0.08809886640354714,2026-05-15,424.1,2026-08-15,2026-06-12,511.57,0.235793,100.0,120.6249,20.6249,0.206249,True,739.17,741.75,100.349,0.349,0.00349,0.202758,True
3,2026-05-15,KEYS,32500.0,0.666,0.04102265868910093,2026-05-15,349.01,2026-08-15,2026-06-12,350.67,0.286525,100.0,100.4756,0.4756,0.004756,True,739.17,741.75,100.349,0.349,0.00349,0.001266,True
3,2026-06-01,TXN,8000.0,0.716,0.049561145078502955,2026-06-01,293.2,2026-09-01,2026-06-12,301.12,0.341064,100.0,102.7012,2.7012,0.027012,True,758.54,741.75,97.7865,-2.2135,-0.022135,0.049147,True
3,2026-06-01,AAPL,8000.0,0.717,0.021055134333178405,2026-06-01,306.31,2026-09-01,2026-06-12,291.13,0.326467,100.0,95.0442,-4.9558,-0.049558,True,758.54,741.75,97.7865,-2.2135,-0.022135,-0.027423,False
6,2025-10-01,GOOGL,175000.0,0.815,0.03962101200951773,2025-10-01,244.4218,2026-04-01,2026-04-01,297.2125,0.409129,100.0,121.5982,21.5982,0.215982,False,664.6655,655.24,98.5819,-1.4181,-0.014181,0.230163,True
6,2025-10-01,AAPL,175000.0,0.705,0.023013443195879946,2025-10-01,254.7294,2026-04-01,2026-04-01,255.3947,0.392574,100.0,100.2612,0.2612,0.002612,False,664.6655,655.24,98.5819,-1.4181,-0.014181,0.016793,True
6,2025-10-15,GOOGL,175000.0,0.764,0.033457967867530636,2025-10-15,250.5398,2026-04-15,2026-04-15,336.9188,0.399138,100.0,134.4772,34.4772,0.344772,False,661.404,699.94,105.8264,5.8264,0.058264,0.286508,True
6,2025-10-15,AAPL,175000.0,0.662,0.01831919421285555,2025-10-15,248.6366,2026-04-15,2026-04-15,266.1848,0.402193,100.0,107.0578,7.0578,0.070578,False,661.404,699.94,105.8264,5.8264,0.058264,0.012314,True
6,2025-11-01,STX,32500.0,0.731,0.06257411444673466,2025-11-03,264.3939,2026-05-01,2026-05-01,726.93,0.378224,100.0,274.942,174.942,1.74942,False,679.4711,720.65,106.0604,6.0604,0.060604,1.688816,True
