rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
trail_20,2025-11-15,GOOGL,0.752,0.03530521948545928,2025-11-17,284.4634,2026-03-27,274.1762,trail,130,100.0,96.3837,-3.6163,-0.036163,False,95.7983,-4.2017,-0.042017,0.005854,True
trail_20,2025-11-15,AAPL,0.708,0.021665805844635955,2025-11-17,266.964,2026-05-18,297.84,time,182,100.0,111.5656,11.5656,0.115656,False,111.5952,11.5952,0.115952,-0.000296,False
trail_20,2025-12-01,AAPL,0.706,0.02107373330221396,2025-12-01,282.575,2026-06-01,306.31,time,182,100.0,108.3995,8.3995,0.083995,False,112.1406,12.1406,0.121406,-0.037411,False
trail_20,2025-12-01,CSCO,0.667,0.016163207998135753,2025-12-01,75.2276,2026-06-01,121.33,time,182,100.0,161.2838,61.2838,0.612838,False,112.1406,12.1406,0.121406,0.491432,True
trail_20,2025-12-15,JNJ,0.849,0.025792512729819084,2025-12-15,211.8193,2026-06-12,240.87,open,179,100.0,113.7149,13.7149,0.137149,True,109.5843,9.5843,0.095843,0.041305,True
trail_20,2025-12-15,COF,0.567,0.007650550602458006,2025-12-15,237.8748,2026-02-19,204.1835,trail,66,100.0,85.8365,-14.1635,-0.141635,False,100.848,0.848,0.00848,-0.150114,False
trail_20,2026-01-01,GOOGL,0.708,0.028974689822372612,2026-01-02,314.7403,2026-03-27,274.1762,trail,84,100.0,87.1119,-12.8881,-0.128881,False,93.0693,-6.9307,-0.069307,-0.059574,False
trail_20,2026-01-01,NVDA,0.501,0.00026891863854916487,2026-01-02,188.6199,2026-06-12,205.19,open,161,100.0,108.7849,8.7849,0.087849,True,108.8713,8.8713,0.088713,-0.000864,False
trail_20,2026-01-15,PRU,0.736,0.017773383395647713,2026-01-15,113.3272,2026-06-12,108.5,open,148,100.0,95.7404,-4.2596,-0.042596,True,107.4448,7.4448,0.074448,-0.117043,False
trail_20,2026-01-15,ACN,0.641,0.01649994310430447,2026-01-15,285.3501,2026-02-12,220.1828,trail,28,100.0,77.1623,-22.8377,-0.228377,False,98.4153,-1.5847,-0.015847,-0.21253,False
trail_20,2026-02-01,GOOGL,0.698,0.023655762915464784,2026-02-02,343.2432,2026-03-27,274.1762,trail,53,100.0,79.8781,-20.1219,-0.201219,False,91.4312,-8.5688,-0.085688,-0.115531,False
trail_20,2026-02-01,T,0.611,0.009840774168441202,2026-02-02,26.0276,2026-06-04,22.77,trail,122,100.0,87.4841,-12.5159,-0.125159,False,109.1669,9.1669,0.091669,-0.216828,False
